종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
58850,KTcs,KOSPI,서비스업,3215,15,0.47,137232275000
58860,KTis,KOSPI,서비스업,2705,-5,-0.18,94139410000
93050,LF,KOSPI,섬유의복,13830,90,0.66,404389200000
3550,LG,KOSPI,기타금융,81500,-1600,-1.93,12820030929500
34220,LG디스플레이,KOSPI,전기전자,12480,-120,-0.95,6240000000000
51900,LG생활건강,KOSPI,화학,355000,6500,1.87,5544459935000
51905,LG생활건강우,KOSPI,화학,152400,1200,0.79,319993822800
373220,LG에너지솔루션,KOSPI,전기전자,360500,3000,0.84,84357000000000
3555,LG우,KOSPI,기타금융,60800,0,0,183714496000
32640,LG유플러스,KOSPI,통신업,9820,10,0.1,4287523565020
11070,LG이노텍,KOSPI,전기전자,273000,4500,1.68,6461120211000
66570,LG전자,KOSPI,전기전자,108400,-2400,-2.17,17739423037600
66575,LG전자우,KOSPI,전기전자,49200,-350,-0.71,845550806400
37560,LG헬로비전,KOSPI,서비스업,2920,5,0.17,226144845800
51910,LG화학,KOSPI,화학,362000,1000,0.28,25554428166000
51915,LG화학우,KOSPI,화학,250000,0,0,1922200000000
79550,LIG넥스원,KOSPI,기계,203500,6600,3.35,4477000000000
6260,LS,KOSPI,기타금융,133500,2500,1.91,4298700000000
10120,LS ELECTRIC,KOSPI,전기전자,198700,5100,2.63,5961000000000
680,LS네트웍스,KOSPI,유통업,4245,40,0.95,334518802920
229640,LS에코에너지,KOSPI,기타금융,30500,750,2.52,934058809500
108320,LX세미콘,KOSPI,전기전자,79500,1500,1.92,1293011850000
1120,LX인터내셔널,KOSPI,유통업,30700,-650,-2.07,1189932000000
108670,LX하우시스,KOSPI,화학,42150,-900,-2.09,377987290500
108675,LX하우시스우,KOSPI,화학,22850,-300,-1.3,23588740500
383800,LX홀딩스,KOSPI,기타금융,6970,10,0.14,531676409300
38380K,LX홀딩스1우,KOSPI,기타금융,8980,170,1.93,13158259300
23150,MH에탄올,KOSPI,음식료품,6090,40,0.66,44935223340
35420,NAVER,KOSPI,서비스업,171600,3500,2.08,27869314730400
181710,NHN,KOSPI,서비스업,20350,100,0.49,687140603050
400760,NH올원리츠,KOSPI,서비스업,3640,-20,-0.55,153608000000
5940,NH투자증권,KOSPI,증권,13090,150,1.16,4286874193910
5945,NH투자증권우,KOSPI,증권,11610,-10,-0.09,219091938480
