종목코드	종목명	시장구분	업종명	종가	대비	등락률	시가총액
052900	KX하이텍	KOSDAQ	반도체	"1,295"	-41	-3.07	"71,364,234,515"
376190	LB루셈	KOSDAQ	반도체	"6,260"	-20	-0.32	"153,996,000,000"
061970	LB세미콘	KOSDAQ	반도체	"6,580"	-110	-1.64	"288,102,615,360"
309960	LB인베스트먼트	KOSDAQ	금융	"4,670"	-195	-4.01	"108,424,506,130"
060370	LS마린솔루션	KOSDAQ	건설	"11,050"	260	2.41	"286,617,463,600"
086960	MDS테크	KOSDAQ	소프트웨어	"1,645"	-61	-3.58	"144,066,691,720"
038340	MIT	KOSDAQ	일반전기전자	"1,283"	0	0.00	"33,979,354,334"
160550	NEW	KOSDAQ	오락·문화	"4,670"	-20	-0.43	"130,321,515,020"
053290	NE능률	KOSDAQ	출판·매체복제	"5,830"	90	1.57	"96,348,369,810"
060250	NHN KCP	KOSDAQ	소프트웨어	"8,770"	30	0.34	"352,208,558,470"
104200	NHN벅스	KOSDAQ	디지털컨텐츠	"3,945"	135	3.54	"58,494,684,750"
024940	PN풍년	KOSDAQ	유통	"8,400"	-100	-1.18	"84,000,000,000"
218410	RFHIC	KOSDAQ	일반전기전자	"15,740"	140	0.90	"421,618,471,160"
327260	RF머트리얼즈	KOSDAQ	기타제조	"10,560"	-270	-2.49	"89,054,919,360"
091340	S&K폴리텍	KOSDAQ	IT부품	"2,900"	-45	-1.53	"33,940,790,900"
419530	SAMG엔터	KOSDAQ	오락·문화	"21,800"	800	3.81	"187,282,274,000"
019550	SBI인베스트먼트	KOSDAQ	금융	792	-16	-1.98	"128,356,727,400"
950110	SBI핀테크솔루션즈	KOSDAQ	출판·매체복제	"4,450"	-70	-1.55	"107,033,803,000"
046140	SBS콘텐츠허브	KOSDAQ	오락·문화	"5,260"	30	0.57	"112,898,299,300"
151910	SBW생명과학	KOSDAQ	IT부품	475	-24	-4.81	"84,617,536,450"
036120	SCI평가정보	KOSDAQ	기타서비스	"3,655"	30	0.83	"129,752,500,000"
099220	SDN	KOSDAQ	유통	"1,249"	29	2.38	"70,158,591,939"
036540	SFA반도체	KOSDAQ	반도체	"5,120"	-40	-0.78	"842,036,751,360"
255220	SG	KOSDAQ	비금속	"1,180"	1	0.08	"56,100,452,080"
040610	SG&G	KOSDAQ	운송	"1,583"	-2	-0.13	"53,960,031,268"
049470	SGA	KOSDAQ	소프트웨어	581	-9	-1.53	"34,198,966,669"
184230	SGA솔루션즈	KOSDAQ	소프트웨어	720	15	2.13	"39,014,801,280"
016250	SGC이테크건설	KOSDAQ	건설	"19,480"	170	0.88	"63,185,035,800"
048550	SM C&C	KOSDAQ	방송서비스	"1,837"	42	2.34	"177,650,060,940"
063440	SM Life Design	KOSDAQ	출판·매체복제	"1,936"	-10	-0.51	"89,112,442,144"
289080	SV인베스트먼트	KOSDAQ	금융	"1,903"	17	0.90	"101,304,302,000"
089230	THE E&M	KOSDAQ	인터넷	216	6	2.86	"40,102,587,216"
161570	THE MIDONG	KOSDAQ	정보기기	503	-18	-3.45	"10,611,466,062"
032540	TJ미디어	KOSDAQ	일반전기전자	"5,730"	210	3.80	"79,828,119,570"
022220	TKG애강	KOSDAQ	화학	"1,209"	-16	-1.31	"62,619,646,011"
048770	TPC	KOSDAQ	기계·장비	"3,385"	-35	-1.02	"53,137,699,535"
246690	TS인베스트먼트	KOSDAQ	금융	"1,256"	3	0.24	"52,096,194,672"
317240	TS트릴리온	KOSDAQ	화학	"1,340"	-48	-3.46	"126,559,817,500"
057030	YBM넷	KOSDAQ	기타서비스	"4,615"	-145	-3.05	"75,283,096,655"
040300	YTN	KOSDAQ	방송서비스	"6,450"	200	3.20	"270,900,000,000"
051390	YW	KOSDAQ	유통	"4,050"	15	0.37	"45,989,240,400"
052220	iMBC	KOSDAQ	디지털컨텐츠	"3,130"	5	0.16	"71,990,000,000"
079940	가비아	KOSDAQ	인터넷	"14,340"	550	3.99	"194,101,708,560"
078890	가온그룹	KOSDAQ	통신장비	"5,910"	0	0.00	"100,302,445,590"
399720	가온칩스	KOSDAQ	반도체	"45,300"	850	1.91	"520,420,896,000"
036620	감성코퍼레이션	KOSDAQ	유통	"3,775"	-140	-3.58	"342,349,374,400"
217730	강스템바이오텍	KOSDAQ	제약	"1,367"	36	2.70	"76,467,143,475"
114190	강원에너지	KOSDAQ	금속	"16,570"	-80	-0.48	"432,858,739,660"
094480	갤럭시아머니트리	KOSDAQ	소프트웨어	"6,970"	730	11.70	"273,431,970,860"
039240	경남스틸	KOSDAQ	금속	"3,100"	10	0.32	"83,636,772,400"
053950	경남제약	KOSDAQ	제약	"1,694"	-45	-2.59	"60,030,948,824"
011040	경동제약	KOSDAQ	제약	"6,510"	10	0.15	"200,304,666,660"
024910	경창산업	KOSDAQ	운송장비·부품	"2,305"	-30	-1.28	"82,562,806,525"
198440	고려시멘트	KOSDAQ	비금속	"1,681"	28	1.69	"53,758,312,760"
049720	고려신용정보	KOSDAQ	기타서비스	"9,240"	-10	-0.11	"132,132,000,000"
014570	고려제약	KOSDAQ	제약	"7,080"	180	2.61	"77,880,000,000"
348150	고바이오랩	KOSDAQ	기타서비스	"8,470"	20	0.24	"159,847,601,760"
950190	고스트스튜디오	KOSDAQ	출판·매체복제	"10,970"	70	0.64	"148,971,415,240"
098460	고영	KOSDAQ	기계·장비	"11,700"	-290	-2.42	"803,260,633,500"
035290	골드앤에스	KOSDAQ	출판·매체복제	707	-6	-0.84	"32,840,548,748"
900280	골든센츄리	KOSDAQ	금융	99	1	1.02	"20,335,024,512"
215000	골프존	KOSDAQ	소프트웨어	"93,700"	"-1,300"	-1.37	"588,006,385,500"
121440	골프존뉴딘홀딩스	KOSDAQ	유통	"3,985"	-20	-0.50	"170,704,719,730"
366030	공구우먼	KOSDAQ	섬유·의류	"6,200"	-20	-0.32	"140,233,770,000"
014200	광림	KOSDAQ	운송장비·부품	"1,006"	0	0.00	"91,250,936,176"
029480	광무	KOSDAQ	통신장비	"2,095"	10	0.48	"100,325,131,645"
026910	광진실업	KOSDAQ	금속	"3,875"	25	0.65	"24,820,944,375"
397880	교보11호스팩	KOSDAQ	금융	"2,550"	0	0.00	"11,322,000,000"
421800	교보12호스팩	KOSDAQ	금융	"2,135"	5	0.23	"12,767,300,000"
440790	교보13호스팩	KOSDAQ	금융	"2,115"	20	0.95	"8,565,750,000"
456490	교보14호스팩	KOSDAQ	금융	"2,065"	20	0.98	"8,673,000,000"
